Hierarchy,Id,Term,ChangeType,DefinitionStatus
Clinical finding (finding),361000146109,Autosomal dominant hereditary spinal muscular atrophy (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),371000146103,Anterior horn cell disease due to ischemia (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),381000146101,Amyotrophy due to cervical spinal stenosis (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),441000146103,Acquired disorder of nerve root due to neoplasma of back (disorder),Stated view change,Primitive
Clinical finding (finding),451000146100,Acquired disorder of nerve root due to neurofibroma (disorder),Stated view change,Primitive
Clinical finding (finding),461000146102,Disorder of nerve root due to metastases (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),461000146102,aandoening van zenuwwortel door metastase (aandoening),Stated view change,Sufficiently defined
Clinical finding (finding),471000146108,Acquired disorder of nerve root due to congenital vascular malformation (disorder),Stated view change,Primitive
Clinical finding (finding),481000146105,Hereditary neuralgic amyotrophy (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),491000146107,Compression neuropathy of deep peroneal nerve (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),511000146100,Myasthenia gravis caused by AChR antibodies (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),521000146105,Myasthenia gravis caused by MuSK antibodies (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),581000146106,Hereditary rippling muscle disease (disorder),Stated view change,Primitive
Clinical finding (finding),591000146108,Disorder of skeletal muscle due to external agent (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),601000146103,Brody's disease (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),611000146101,Desmin myopathy (disorder),Stated view change,Primitive
Clinical finding (finding),621000146106,Acquired saddle nose (disorder),Stated view change,Primitive
Clinical finding (finding),641000146100,Multiple open wounds of head (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),661000146104,Traumatic separated epiphysis (disorder),Stated view change,Primitive
Clinical finding (finding),671000146105,Severe traumatic brain injury (disorder),Stated view change,Primitive
Clinical finding (finding),681000146107,Mild traumatic brain injury (disorder),Stated view change,Primitive
Clinical finding (finding),691000146109,Moderate traumatic brain injury (disorder),Stated view change,Primitive
Clinical finding (finding),711000146106,Acquired deformity of trachea and bronchus (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),721000146101,Hyalin myopathy (disorder),Stated view change,Primitive
Clinical finding (finding),731000146104,Mental nerve neuralgia (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),761000146108,Benign neoplasm of base of skull (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),771000146102,Benign neoplasm of vault of skull (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),781000146100,Anogenital pain (finding),Stated view change,Sufficiently defined
Clinical finding (finding),791000146103,Post-infectious interstitial lung disease (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),801000146104,Multiple cysts of liver (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),821000146107,Acute calcium pyrophosphate deposition disease (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),841000146101,Congenital spondylolysis (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),851000146103,Reduction deformity of hand (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),861000146100,Reduction deformity of thumb (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),871000146106,Reduction deformity of finger (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),891000146105,Hyperplastic polyposis coli syndrome (disorder),Stated view change,Primitive
Clinical finding (finding),901000146106,Penetrating wound of skull (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),911000146108,Penetrating injury of spine (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),921000146103,Congenital deformity of cauda equina (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),941000146109,Anogenital pruritis (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),951000146107,Occlusion of abdominal aorta (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),981000146102,Hemangiomatosis of vertebral column (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),991000146100,Choroidal arteritis (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1001000146108,Felon with tendinitis (disorder),Stated view change,Primitive
Clinical finding (finding),1011000146105,Malignant neoplasm of base of skull (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1021000146100,Malignant neoplasm of vault of skull (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1031000146103,Acute obstructive pyelonephritis (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1041000146106,Acquired primary hypogonadism (disorder),Stated view change,Primitive
Clinical finding (finding),1051000146109,Barrett carcinoma of esophagus (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1061000146107,Chronic pain syndrome of upper limb (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1071000146101,Chronic pain syndrome of lower limb (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1091000146102,Tuberculosis of cervix uteri (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1111000146106,Infection of prosthetic heart (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1131000146104,Mucosal proctocolitis (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1141000146107,Poisoning by beta-lactam antibiotic (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1151000146105,Avulsion of skin of lower leg (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1171000146102,Arterial aneurysm of superior cerebellar artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1181000146100,Arterial aneurysm of anterior inferior cerebellar artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1191000146103,Cyst of Skene's gland (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1201000146101,Neuroma of wrist (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1211000146104,Neuroma of trunk (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1221000146109,Neuroma of upper arm (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1241000146103,Neuroma of finger (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1251000146100,Neuroma of hip (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1261000146102,Neuroma of thigh (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1271000146108,Neuroma of toe (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1281000146105,Neuroma of anterior portion of neck (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1291000146107,Neuroma of shoulder (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1301000146106,Neuroma of knee (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1311000146108,Neuroma of forearm (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1321000146103,Neuroma of lower leg (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1331000146101,Neuroma of elbow (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1341000146109,Anaplastic oligodendroglioma (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1361000146105,Congenital dilatation of aortic root (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1381000146102,Ectopic lobe of lung (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1411000146100,Polyneuropathy due to cytostatics (disorder),Stated view change,Primitive
Clinical finding (finding),1451000146101,Neuropathy associated with paraproteinaemia due to multiple myeloma (disorder),Stated view change,Primitive
Clinical finding (finding),1461000146103,Neuropathy associated with IgM paraproteinaemia (disorder),Stated view change,Primitive
Clinical finding (finding),1481000146106,Carpal tunnel syndrome due to amyloid deposition (disorder),Stated view change,Primitive
Clinical finding (finding),1491000146108,Neuropathy associated with Sjögren's syndrome (disorder),Stated view change,Primitive
Clinical finding (finding),1501000146103,Neuropathy associated with Churg-Strauss syndrome (disorder),Stated view change,Primitive
Clinical finding (finding),1511000146101,Neuropathy associated with Wegener granulomatosis (disorder),Stated view change,Primitive
Clinical finding (finding),1541000146100,Neuropathy associated with mixed connective tissue disease (disorder),Stated view change,Primitive
Clinical finding (finding),1551000146102,Neuropathy associated with thrombotic thrombocytopenic purpura (disorder),Stated view change,Primitive
Clinical finding (finding),1561000146104,Neuropathy associated with metabolic disease (disorder),Stated view change,Primitive
Clinical finding (finding),1571000146105,Neuropathy associated with hypervitaminosis B6 (disorder),Stated view change,Primitive
Clinical finding (finding),1581000146107,Neuropathy associated with burning feet syndrome (disorder),Stated view change,Primitive
Clinical finding (finding),1591000146109,Neuropathy associated with thyroid disorders (disorder),Stated view change,Primitive
Clinical finding (finding),1601000146104,Neuropathy associated with localized tumour configuration (disorder),Stated view change,Primitive
Clinical finding (finding),1611000146102,Plexopathy associated with localized tumour configuration (disorder),Stated view change,Primitive
Clinical finding (finding),1641000146101,Neuropathy associated with systemic sclerosis (disorder),Stated view change,Primitive
Clinical finding (finding),1651000146103,Neuropathy associated with connective tissue disorders (disorder),Stated view change,Primitive
Clinical finding (finding),1661000146100,Otitis externa with effusion (disorder),Stated view change,Primitive
Clinical finding (finding),1671000146106,Acquired deformity of mastoid (disorder),Stated view change,Primitive
Clinical finding (finding),1681000146108,Tuberculosis of pituitary gland (disorder),Stated view change,Primitive
Clinical finding (finding),1691000146105,Longitudinal deficiency of upper arm (disorder),Stated view change,Primitive
Clinical finding (finding),1701000146105,Longitudinal deficiency of forearm (disorder),Stated view change,Primitive
Clinical finding (finding),1711000146107,Stricture of axillary artery (disorder),Stated view change,Primitive
Clinical finding (finding),1721000146102,Stricture of brachial artery (disorder),Stated view change,Primitive
Clinical finding (finding),1731000146100,Stricture of radial artery (disorder),Stated view change,Primitive
Clinical finding (finding),1741000146108,Stricture of ulnar artery (disorder),Stated view change,Primitive
Clinical finding (finding),1751000146106,Stricture of popliteal artery (disorder),Stated view change,Primitive
Clinical finding (finding),1761000146109,Stricture of tibial artery (disorder),Stated view change,Primitive
Clinical finding (finding),1771000146103,Stricture of femoral artery (disorder),Stated view change,Primitive
Clinical finding (finding),1781000146101,Stricture of dorsalis pedis artery (disorder),Stated view change,Primitive
Clinical finding (finding),1791000146104,Coxitis fugax (disorder),Stated view change,Primitive
Clinical finding (finding),1801000146100,Acquired deformity of middle ear (disorder),Stated view change,Primitive
Clinical finding (finding),1811000146103,Acute pancreatitis due to bile stasis (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1851000146104,Recurrent cholesteatoma of middle ear (disorder),Stated view change,Primitive
Clinical finding (finding),1871000146107,Serous cyst of maxillary sinus (disorder),Stated view change,Primitive
Clinical finding (finding),1881000146109,Congenital deformity of bile duct (disorder),Stated view change,Primitive
Clinical finding (finding),1891000146106,Facial dysplasia (disorder),Stated view change,Primitive
Clinical finding (finding),1911000146109,Fracture of axis (disorder),Stated view change,Primitive
Clinical finding (finding),1921000146104,Malignant neoplasm of tibia (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),1931000146102,Orbital Hodgkin lymphoma (disorder),Stated view change,Primitive
Clinical finding (finding),1951000146108,Malignant neoplasm of testis&#44; metastasized (disorder),Stated view change,Primitive
Clinical finding (finding),1961000146106,Epidural neoplasm of spine (disorder),Stated view change,Primitive
Clinical finding (finding),1971000146100,Congenital vascular anomaly of choroid of eye (disorder),Stated view change,Primitive
Clinical finding (finding),2031000146108,Malignant neoplasm of clavicula (disorder),Stated view change,Primitive
Clinical finding (finding),2041000146100,Benign neoplasm of uterine ligaments (disorder),Stated view change,Primitive
Clinical finding (finding),2051000146102,Arthropathy of sternoclavicular joint (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),2061000146104,Hereditary lymphedema of upper limb (disorder),Stated view change,Primitive
Clinical finding (finding),2071000146105,Hereditary lymphedema of lower extremity (disorder),Stated view change,Primitive
Clinical finding (finding),2101000146102,Malignant neoplasm of tarsus (disorder),Stated view change,Primitive
Clinical finding (finding),2111000146100,Vascular anomaly of anterior portion of neck (disorder),Stated view change,Primitive
Clinical finding (finding),2121000146105,Congenital deformity of vestibulocochlear nerve (disorder),Stated view change,Primitive
Clinical finding (finding),2131000146107,Congenital anomaly of renal artery (disorder),Stated view change,Primitive
Clinical finding (finding),2141000146104,Congenital deformity of mastoid (disorder),Stated view change,Primitive
Clinical finding (finding),2161000146103,Congenital thrombocytopenic disorder (disorder),Stated view change,Primitive
Clinical finding (finding),2171000146109,Chemodectoma of carotid body (disorder),Stated view change,Primitive
Clinical finding (finding),2211000146107,Hypesthesia of skin (finding),Stated view change,Primitive
Clinical finding (finding),2231000146100,Exostosis of tarsus (disorder),Stated view change,Primitive
Clinical finding (finding),2241000146108,Exostosis of metatarsal bone (disorder),Stated view change,Primitive
Clinical finding (finding),2251000146106,Exostosis of phalanx of foot (disorder),Stated view change,Primitive
Clinical finding (finding),2261000146109,Autoimmune granulocytopenia (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),2271000146103,Palpable mass of breast (finding),Stated view change,Primitive
Clinical finding (finding),2281000146101,Malignant neoplasm of femur (disorder),Stated view change,Primitive
Clinical finding (finding),2301000146100,Viral rhinitis (disorder),Stated view change,Primitive
Clinical finding (finding),2311000146103,Fetal disorder of urinary system (disorder),Stated view change,Primitive
Clinical finding (finding),2321000146108,Fetal disorder of nervous system (disorder),Stated view change,Primitive
Clinical finding (finding),2331000146105,Fetal disorder of lung (disorder),Stated view change,Primitive
Clinical finding (finding),2341000146102,Fetal disorder of diaphragm (disorder),Stated view change,Primitive
Clinical finding (finding),2351000146104,Congenital deformity of nasal cavity (disorder),Stated view change,Primitive
Clinical finding (finding),2361000146101,Acquired deformity of pharynx (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),2401000146109,Degenerative cervical pain (finding),Stated view change,Primitive
Clinical finding (finding),2421000146101,Lumbar herniation of nucleus pulposus (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),2441000146107,Thoracic herniation of nucleus pulposus (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),2451000146105,Short frenulum labii superiores (disorder),Stated view change,Primitive
Clinical finding (finding),2461000146108,Volatile exanthema (disorder),Stated view change,Primitive
Clinical finding (finding),2471000146102,Primary malignant glomus tumor of aortic body (disorder),Stated view change,Primitive
Clinical finding (finding),2481000146100,Stricture of thoracoabdominal aorta (disorder),Stated view change,Primitive
Clinical finding (finding),2501000146108,Vestibular vaginitis (disorder),Stated view change,Primitive
Clinical finding (finding),2511000146105,Congenital anomaly of lymphatic structure of lung (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),2531000146103,Neuropathy in haematological disorders (disorder),Stated view change,Primitive
Clinical finding (finding),2721000146109,Abscess of skin of lower limb (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),2731000146106,Abscess of skin of upper limb (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),2741000146103,Acquired extension deformity (disorder),Stated view change,Primitive
Clinical finding (finding),2751000146100,Acquired flexion deformity (disorder),Stated view change,Primitive
Clinical finding (finding),2761000146102,Acquired rotational deformity (disorder),Stated view change,Primitive
Clinical finding (finding),2771000146108,Acquired deformity of inner ear (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),2781000146105,Acquired deformity of larynx (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),2791000146107,Acute compartment syndrome (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),2791000146107,acuut compartimentsyndroom (aandoening),Stated view change,Sufficiently defined
Clinical finding (finding),2801000146106,Acute hypertensive renal failure (disorder),Stated view change,Primitive
Clinical finding (finding),2811000146108,Acute lymphoid leukemia with t(4;11)(q21;q23); MLL-AF4 (disorder),Stated view change,Primitive
Clinical finding (finding),3301000146107,Bacterial carditis (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3321000146104,Acute pancreatitis due to hypertriglyceridemia (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3391000146101,Benign neoplasm of arachnoid mater (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3401000146103,Benign neoplasm of pia mater (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3771000146104,Chemodectoma of glomus jugulare (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3781000146102,Chronic epiglottitis (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3831000146106,Chronic hypertensive renal failure (disorder),Stated view change,Primitive
Clinical finding (finding),3841000146103,Chronic subglottic laryngitis (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3871000146108,Cleft jaw (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3931000146103,Concussion of lumbar spine (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3941000146106,Concussion of cervical spine (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3951000146109,Concussion of thoracic spine (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3971000146101,Congenital anomaly of seminal vesicle (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),4301000146109,Cutaneous infectious disease due to atypical Mycobacteria (disorder),Stated view change,Primitive
Clinical finding (finding),4331000146104,Lymphoproliferative syndrome with ITK deficiency (disorder),Stated view change,Primitive
Clinical finding (finding),6801000146107,Decompensated alcoholic cirrhosis (disorder),Stated view change,Primitive
Clinical finding (finding),6841000146105,Degenerative low back pain (finding),Stated view change,Primitive
Clinical finding (finding),6861000146106,Dislocation of acromioclavicular joint&#44; Tossi grade 1 (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),6871000146100,Dislocation of acromioclavicular joint&#44; Tossi grade 2 (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),6881000146103,Dislocation of acromioclavicular joint&#44; Tossi grade 3 (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),6891000146101,Edema of larynx due to trauma (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),6911000146103,Myoma of uterine cervix (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),6931000146105,Enthesopathy of wrist (disorder),Stated view change,Primitive
Clinical finding (finding),6941000146102,Kaposi's sarcoma of soft palate (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7001000146101,Kaposi's sarcoma of hard palate (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7011000146104,Small cell carcinoma of bronchus (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7021000146109,Injury of lumbar sympathetic nerve (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7031000146106,Tuberculoma of lung (disorder),Stated view change,Primitive
Clinical finding (finding),7041000146103,Malignant neoplasm of skin of anterior portion of neck (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7051000146100,Mucous cyst of toe (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7061000146102,Mucous cyst of finger (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7071000146108,Non-small cell carcinoma of bronchus (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7081000146105,Occlusion of anterior cerebral artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7091000146107,Occlusion of posterior cerebral artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7101000146100,Occlusion of middle cerebral artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7111000146103,Primary malignant neoplasm of spinal nerve (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7181000146109,Papilloma of pharynx (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7191000146106,Monomorphic adenoma of parotid gland (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7281000146104,Viral otitis media (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7291000146102,Rupture of mesenteric artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7301000146103,Rupture of renal artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7311000146101,Inguinal lymphadenitis (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7321000146106,Mucocele of ethmoid sinus (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7331000146108,Mucocele of frontal sinus (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7351000146102,Intubation granuloma (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7381000146107,Finding of placental position (finding),Stated view change,Primitive
Clinical finding (finding),7411000146109,Furuncle of lip (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7421000146104,Granuloma of oral mucous membrane (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7471000146100,Fetal torsion of testis (disorder),Stated view change,Primitive
Clinical finding (finding),7501000146106,Third degree caustic burn of upper limb (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7531000146101,Second degree caustic burn of hand (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7541000146109,Third degree caustic burn of hand (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7551000146107,Third degree caustic burn of lower extremity (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7571000146104,Neuralgia of infraorbital nerve (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7581000146102,Painful scar of vulva (finding),Stated view change,Primitive
Clinical finding (finding),7591000146100,Hereditary carpal tunnel syndrome (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7631000146100,Tibial nerve neuralgia (disorder),Stated view change,Primitive
Clinical finding (finding),7641000146108,Saphenous neuralgia (disorder),Stated view change,Primitive
Clinical finding (finding),7651000146106,Peroneal neuralgia (disorder),Stated view change,Primitive
Clinical finding (finding),7681000146101,Sarcoidosis of spinal cord (disorder),Stated view change,Primitive
Clinical finding (finding),7691000146104,Gastrointestinal stromal tumor of cardia (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7721000146107,Unstable lie (finding),Stated view change,Primitive
Clinical finding (finding),8621000146101,Acute myeloid leukemia with FLT3 mutation (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),8661000146108,Complete diphallus (disorder),Stated view change,Primitive
Clinical finding (finding),8671000146102,Degenerative ankle joint pain (finding),Stated view change,Primitive
Clinical finding (finding),8691000146103,Partial diphallus (disorder),Stated view change,Primitive
