Hierarchy,Id,Term,ChangeType,DefinitionStatus
Clinical finding (finding),8741000146100,Abnormal vision with eye glasses (finding),Stated view change,Primitive
Clinical finding (finding),8771000146105,Acquired strabismus (disorder),Stated view change,Primitive
Clinical finding (finding),8941000146103,Angiomatous meningioma (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),8951000146100,Atypical meningioma (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),8961000146102,Benign neoplasm of dura mater (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),8971000146108,Carrier of bacterium (finding),Stated view change,Sufficiently defined
Clinical finding (finding),8981000146105,Carrier of virus (finding),Stated view change,Sufficiently defined
Clinical finding (finding),8991000146107,Chordoid meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9001000146107,Clear cell meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9021000146104,Fibrous meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9061000146106,Intraspinal neoplasm (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),9071000146100,Meningothelial meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9081000146103,Metaplastic meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9091000146101,Microcystic meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9101000146108,Myositis of lower limb (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),9111000146105,Oligoastrocytoma&#44; low grade (disorder),Stated view change,Primitive
Clinical finding (finding),9121000146100,Otitis externa after procedure (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),9131000146103,Papillary meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9141000146106,Pilocytic astrocytoma (disorder),Stated view change,Primitive
Clinical finding (finding),9151000146109,Psammomatous meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9161000146107,Rhabdoid meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9171000146101,Secondary malignant neoplasm of dura mater (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),9181000146104,Secondary malignant neoplasm of nerve plexus (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),9191000146102,Secondary malignant neoplastm of pia mater (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),9201000146100,Secretory meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9361000146109,Testicular hypofunction after procedure (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),9371000146103,Transitional meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9381000146101,Viral meningoencephalitis (disorder),Stated view change,Primitive
Clinical finding (finding),9391000146104,Lymphoplasmocyte-rich meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),11651000146101,Disorder of retinal pigment epithelial (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11671000146109,Arteritic anterior ischemic optic neuropathy (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11711000146105,Neoplasm of pituitary gland associated with compression of optic chiasm (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11771000146101,On examination - heart function normal (finding),Stated view change,Primitive
Clinical finding (finding),11781000146104,Thoracic pain (finding),Stated view change,Sufficiently defined
Clinical finding (finding),11791000146102,Transmural myocardial infarction of anterior wall (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11801000146103,Exacerbation of chronic heart failure (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11821000146106,Atypical atrial flutter (disorder),Stated view change,Primitive
Clinical finding (finding),11841000146100,Congenital anomaly of heart septum (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11861000146104,Surgically constructed pathway through heart from inferior vena cava and superior vena cava to pulmonary artery present (finding),Stated view change,Primitive
Clinical finding (finding),11871000146105,Cardiomyopathy secondary to metabolic disorder (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11891000146109,Thromboembolism of iliac artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11901000146105,Thromboembolism of mesenteric artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11911000146107,Thromboembolism of mesenteric vein (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11921000146102,Thromboembolism of tibial artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11931000146100,Thromboembolism of vertebral artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11941000146108,Thrombosis of axillary artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11951000146106,Thrombosis of radial artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11961000146109,Thrombosis of tibial artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11971000146103,Postoperative bacterial mediastinitis (disorder),Stated view change,Primitive
Clinical finding (finding),12011000146104,Convalescence after percutaneous transluminal coronary angioplasty (finding),Stated view change,Primitive
Clinical finding (finding),12021000146109,Convalescence after coronary artery bypass grafting (finding),Stated view change,Primitive
Clinical finding (finding),12121000146108,Transplanted heart-lung present (finding),Stated view change,Primitive
Clinical finding (finding),12141000146102,Thromboembolism of carotid artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12161000146101,Penetrating wound of eye with intraocular prolapse (disorder),Stated view change,Primitive
Clinical finding (finding),12171000146107,Penetrating wound of eye without intraocular prolapse (disorder),Stated view change,Primitive
Clinical finding (finding),12191000146106,Heart transplant present (finding),Stated view change,Primitive
Clinical finding (finding),12201000146108,Adverse event following drug therapy (disorder),Stated view change,Primitive
Clinical finding (finding),12391000146109,Acquired absence of kidney (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12401000146107,Accelerated neuropathy in renal failure (disorder),Stated view change,Primitive
Clinical finding (finding),12431000146102,Metastatic malignant neoplasm of ureter (disorder),Stated view change,Primitive
Clinical finding (finding),12451000146108,Infection of drain insertion site (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12481000146103,Metastatic malignant neoplasm of penis (disorder),Stated view change,Primitive
Clinical finding (finding),12491000146101,Rupture of corpus spongiosum (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12501000146106,Lipoma of vas deferens (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12511000146108,Acquired absence of urinary tract proper (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12521000146103,Acquired absence of genital structure (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12531000146101,Complicated urinary tract infectious disease (disorder),Stated view change,Primitive
Clinical finding (finding),12591000146100,Dysfunction of hypothalamus (disorder),Stated view change,Primitive
Clinical finding (finding),12601000146105,Secondary hypocortisolism due to bleeding (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12611000146107,Secondary hypocortisolism due to hypophysitis (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12621000146102,Secondary hypocortisolism after pituitary apoplexy (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12631000146100,Secondary hypocortisolism due to storage disease (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12641000146108,Secondary hypocortisolism due to Sheehan syndrome (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12651000146106,Secondary hypocortisolism after radiation therapy care (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12661000146109,Secondary hypocortisolism due to isolated corticotropin deficiency (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12661000146109,secundaire bijnierschorsinsufficiëntie door geïsoleerde ACTH-deficiëntie (aandoening),Stated view change,Sufficiently defined
Clinical finding (finding),12671000146103,Secondary hypocortisolism after operation on pituary gland (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12681000146101,Secondary hypocortisolism due to secondary malignant neoplasm of pituitary gland (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12691000146104,Adrenal cortical hypofunction after bilateral adrenalectomy (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12701000146104,Adrenal cortical hypofunction due to storage disease (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12711000146102,Adrenal cortical hypofunction due to secondary malignant neoplasm of adrenal gland (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12721000146107,Deficiency of phosphoadenosine-phosphosulfate reductase 2 (disorder),Stated view change,Primitive
Clinical finding (finding),12731000146109,Cytochrome P450 oxidoreductase deficiency (disorder),Stated view change,Primitive
Clinical finding (finding),12741000146101,Deficiency of 11-Beta hydroxysteroid dehydrogenase (disorder),Stated view change,Primitive
Clinical finding (finding),12781000146108,Adrenal Cushing's syndrome associated with Beckwith-Wiedemann syndrome (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12791000146105,Adrenal Cushing's syndrome associated with multiple endocrine neoplasia type 1 (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12801000146109,Androgen-producing tumor of adrenal gland (disorder),Stated view change,Primitive
Clinical finding (finding),12811000146106,Primary malignant pheochromocytoma (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12821000146101,Metastatic malignant pheochromocytoma (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12841000146107,Viral otitis externa (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12841000146107,virale otitis externa (aandoening),Stated view change,Sufficiently defined
Clinical finding (finding),12861000146108,Acquired deformity of nasal cavity (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12871000146102,Acquired deformity of acoustic nerve (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12881000146100,Acquired anomaly of external auditory canal (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12901000146102,Premature cardiovascular disease (disorder),Stated view change,Primitive
Clinical finding (finding),12941000146104,Hereditary malignant epithelial tumor of ovary (disorder),Stated view change,Primitive
Clinical finding (finding),12961000146103,Hereditary endometrial carcinoma (disorder),Stated view change,Primitive
Clinical finding (finding),12971000146109,Vaginal adhesions after procedure (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12981000146106,Stenosis of ureterovesical orifice (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12991000146108,Perforation of tympanic membrane after procedure (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13001000146107,Injury of nasal skeleton (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13011000146109,Complete loss of cochlear function (disorder),Stated view change,Primitive
Clinical finding (finding),13041000146105,Synechia of vocal cords after procedure (finding),Stated view change,Sufficiently defined
Clinical finding (finding),13061000146106,Acquired stenosis of external ear canal after procedure (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13111000146105,Rhinoconjunctivitis (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13121000146100,Recurrent cholesteatoma of mastoid (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13121000146100,recidief cholesteatoom van mastoïd (aandoening),Stated view change,Sufficiently defined
Clinical finding (finding),13181000146104,Partial cochlear dysfunction after procedure (finding),Stated view change,Primitive
Clinical finding (finding),13201000146100,Parasitic otitis externa (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13211000146103,Inverted papilloma of nasal cavity (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13221000146108,Osteoma of frontal sinus (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13231000146105,Inflammation of pinna (disorder),Stated view change,Primitive
Clinical finding (finding),13241000146102,Uncomplicated urinary tract infection (disorder),Stated view change,Primitive
Clinical finding (finding),13261000146101,Perforation of nasal septum after procedure (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13271000146107,Malignant neoplasm of olfactory nerve (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13281000146109,Malignant neoplasm of acoustic nerve (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13291000146106,Malignant neoplasm of mouth (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13301000146105,Malignant neoplasm of lymph nodes of head and neck (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13311000146107,Malignant neoplasm of bone of skull (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13331000146100,Vestibular stenosis after procedure (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13361000146109,Carbuncle of anterior portion of neck (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13381000146101,Invasive malignant tumor of vulva (disorder),Stated view change,Primitive
Clinical finding (finding),13391000146104,Invasive malignant tumor of vagina (disorder),Stated view change,Primitive
Clinical finding (finding),13401000146101,Invasive malignant tumor of uterus (disorder),Stated view change,Primitive
Clinical finding (finding),13411000146104,Invasive malignant tumor of ureter (finding),Stated view change,Primitive
Clinical finding (finding),13421000146109,Invasive malignant tumor of fallopian tube (disorder),Stated view change,Primitive
Clinical finding (finding),13431000146106,Invasive malignant tumor of ovary (disorder),Stated view change,Primitive
Clinical finding (finding),13441000146103,Invasive malignant tumor of cervix uteri (disorder),Stated view change,Primitive
Clinical finding (finding),13451000146100,Invasive malignant tumor of urinary bladder (finding),Stated view change,Primitive
Clinical finding (finding),13481000146105,Hypertrophy of labium minus (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13491000146107,Hyperthyroidism in pregnancy (disorder),Stated view change,Primitive
Clinical finding (finding),13501000146102,Abscess of skin of anterior portion of neck (disorder),Stated view change,Primitive
Clinical finding (finding),13511000146100,Nasal septal hematoma after procedure (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13521000146105,Group B Streptococcus carrier during pregnancy (finding),Stated view change,Primitive
Clinical finding (finding),13531000146107,Malignant neoplasm of urethra&#44; metastasized (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13541000146104,Mixed otosclerosis (disorder),Stated view change,Primitive
Clinical finding (finding),13591000146108,Fistula of mastoid after procedure (disorder),Stated view change,Primitive
Clinical finding (finding),13621000146106,Chemical burn of mouth (disorder),Stated view change,Primitive
Clinical finding (finding),13631000146108,Caustic burn of airway structure (disorder),Stated view change,Primitive
Clinical finding (finding),13651000146102,deformity of nasal tip after procedure (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13661000146104,Foreign body of nasal cavity (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13681000146107,Congenital malformation of large artery (disorder),Stated view change,Primitive
Clinical finding (finding),13691000146109,Complication of surgical repair of vaginal wall prolapse (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13701000146109,Antepartum hemorrhage before 16 weeks gestation (disorder),Stated view change,Primitive
Clinical finding (finding),13711000146106,Benign neoplasm of pinna (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13721000146101,Benign tumor of external auditory canal (disorder),Stated view change,Primitive
Clinical finding (finding),13731000146104,Benign lymphadenopathy (disorder),Stated view change,Primitive
Clinical finding (finding),13761000146108,Alcohol abuse during pregnancy (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13771000146102,Acute sensorineural hearing loss (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13781000146100,Acute nasal vestibulitis (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13791000146103,Acute periauricular lymphadenitis (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13801000146104,Abscess of nasal septum after procedure (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13851000146103,Stenosis of larynx after procedure (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13871000146106,Adrenal Cushing's syndrome associated with familial isolated pituitary adenoma (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),13871000146106,syndroom van Cushing bij familiaal geïsoleerd hypofyseadenoom (aandoening),Stated view change,Sufficiently defined
Clinical finding (finding),13881000146108,Adrenal cortical hypofunction due to bleeding (disorder),Stated view change,Sufficiently defined
Organism (organism),9411000146104,,Stated view change,Primitive
Procedure (procedure),251000146104,Examination of ocular accommodation (procedure),Stated view change,Primitive
Procedure (procedure),271000146107,Examination of function of eyelid (procedure),Stated view change,Primitive
Procedure (procedure),291000146106,Examination of pupillary reflex (procedure),Stated view change,Primitive
Procedure (procedure),291000146106,pupilreactie-onderzoek (verrichting),Stated view change,Primitive
Procedure (procedure),301000146105,Fundus autofluorescence photography (procedure),Stated view change,Primitive
Procedure (procedure),301000146105,fundus autofluorescentie (verrichting),Stated view change,Primitive
Procedure (procedure),321000146102,Visual observation of face (procedure),Stated view change,Primitive
Procedure (procedure),7931000146107,Examination of near point convergence (procedure),Stated view change,Primitive
Procedure (procedure),8751000146102,Postoperative follow-up visit after refractive surgery (procedure),Stated view change,Primitive
Procedure (procedure),8821000146100,Short ophthalmological test associated with refractive surgery (procedure),Stated view change,Primitive
Procedure (procedure),8831000146103,Detailed ophthalmological test associated with refractive surgery (procedure),Stated view change,Primitive
Procedure (procedure),11431000146105,Fractional exhaled nitric oxide measurement (procedure),Stated view change,Primitive
Procedure (procedure),11451000146104,Delirium assessment (procedure),Stated view change,Primitive
Procedure (procedure),11481000146109,Audio recording (procedure),Stated view change,Primitive
Procedure (procedure),11501000146101,Inter-collegial consultation (procedure),Stated view change,Primitive
Procedure (procedure),11541000146103,Dietitian consultation and report (procedure),Stated view change,Primitive
Procedure (procedure),13081000146103,Radiotherapy to larynx (procedure),Stated view change,Sufficiently defined
Procedure (procedure),13861000146100,Photoacoustical imaging (procedure),Stated view change,Primitive
SNOMED CT Model Component (metadata),11000146104,SNOMED CT Netherlands NRC maintained module (core metadata concept),Stated view change,Primitive
Situation with explicit context (situation),191000146102,Autopsy not done (situation),Stated view change,Primitive
Situation with explicit context (situation),201000146100,Autopsy carried out on subject (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),211000146103,Autopsy planned (situation),Stated view change,Primitive
Situation with explicit context (situation),9211000146103,Suspected bacterial infectious disease (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),9221000146108,Suspected blood coagulation disorder (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),9231000146105,Suspected celiac sprue (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),9241000146102,Suspected cognitive disorder (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),9251000146104,Suspected disorder of endocrine system (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),9261000146101,Suspected disorder of gastrointestinal tract (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),9271000146107,Suspected disorder of genitourinary system (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),9281000146109,Suspected inflammatory bowel disease (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),9291000146106,Suspected kidney disease (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),9301000146105,Suspected metabolic disease (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),9311000146107,Suspected polyneuropathy (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),9321000146102,Suspected rheumatism (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),9331000146100,Suspected sepsis (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),9341000146108,Suspected thrombophilia (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),9351000146106,Suspected viral infectious disease (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),9401000146101,Suspected disorder of body system (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),11631000146107,At risk of eye disorder (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),11641000146104,Suspected ocular histoplasmosis syndrome (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),11661000146103,No diabetic retinopathy (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),11691000146108,No disorder of eye region (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),11731000146103,Suspected disorder of immune function (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),11741000146106,Suspected peripheral vascular disease (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),11751000146109,Suspected peripheral venous insufficiency (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),11761000146107,Suspected myocardial infarction (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),11851000146102,Suspected fetal heart disorder (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),11981000146101,History of acute coronary syndrome (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),12131000146105,Suspected adrenogenital disorder (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),12231000146103,Heart transplant evaluation in progress (situation),Stated view change,Primitive
Situation with explicit context (situation),12241000146106,Suspected congenital heart disease (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),12251000146109,Suspected neoplasm of kidney (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),12261000146107,Suspected urolithiasis (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),12271000146101,Suspected neoplasm of bladder (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),12281000146104,Suspected neoplasm of prostate (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),12291000146102,Suspected neoplasm of testis (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),12301000146103,Suspected torsion of testis (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),12311000146101,Suspected congenital anomaly (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),12321000146106,Suspected congenital malformation of genital organs (situation),Stated view change,Sufficiently defined
Situation with explicit context (situation),12331000146108,Suspected disorder of skin (situation),Stated view change,Sufficiently defined
